geoid,statefp,countyfp,county_name,osm_area_m2,parkserve_area_m2,combined_area_m2,overlap_area_m2,date
01059,01,059,Franklin,971195.6849078367,622827.3616089236,939319.5015442425,654703.5449725178,2025-10-31
01123,01,123,Tallapoosa,183719.574862315,905537.7392549532,1032706.166081021,56551.148036247236,2025-10-31
01075,01,075,Lamar,399738.9748776789,0.0,327007.61478619324,72731.36009148567,2025-10-31
01079,01,079,Lawrence,425224.9740471184,210986.7759392511,391669.0433014601,244542.7066849094,2025-10-31
01095,01,095,Marshall,2623718.457429641,1605011.766052525,2674494.2945894143,1554235.9288927512,2025-10-31
01105,01,105,Perry,130258.7594323234,0.0,117256.04928520383,13002.710147119564,2025-10-31
01025,01,025,Clarke,463149.165514914,272646.77345785446,650236.7269701125,85559.21200265596,2025-10-31
01101,01,101,Montgomery,6053180.447725395,3983854.0573757803,6617085.63605066,3419948.869050514,2025-10-31
01111,01,111,Randolph,451041.3355104597,131717.65715243682,393783.99393712275,188974.99872577377,2025-10-31
01085,01,085,Lowndes,136965.23179114884,0.0,136478.17068263708,487.0611085117562,2025-10-31
01043,01,043,Cullman,1511673.7979510082,684816.8497296751,1501892.53561749,694598.112063193,2025-10-31
01035,01,035,Conecuh,101811.92483983353,351819.1944088258,393287.4553050284,60343.663943630876,2025-10-31
01077,01,077,Lauderdale,4637886.72948442,3085562.030804551,4640393.902279346,3083054.858009625,2025-10-31
01113,01,113,Russell,915525.4910874093,1903453.702851155,2063093.9158605894,755885.2780779751,2025-10-31
01041,01,041,Crenshaw,165901.3282233951,0.0,135631.75922439346,30269.56899900164,2025-10-31
01031,01,031,Coffee,1235496.4185156939,613240.0586146733,1124604.9915876258,724131.4855427414,2025-10-31
01021,01,021,Chilton,652917.906279613,602270.7854510953,786963.2941861126,468225.39754459576,2025-10-31
01051,01,051,Elmore,1679808.917685609,1538915.4968979792,1984991.6888640488,1233732.7257195392,2025-10-31
01005,01,005,Barbour,87388.58604326141,10641.31985799296,91489.35138199257,6540.554519261801,2025-10-31
